,NID,NUMCTRL,GLLID,FACEID,ix,iy,iz,x,y,z
0,0,150,97,1,1,1,1,0.0,0.0,0.6000000000000001
1,0,150,97,1,1,1,2,0.0,0.0,0.6234944676070537
2,0,150,97,1,1,1,3,0.0,0.0,0.6714768483519356
3,0,150,97,1,1,1,4,0.0,0.0,0.7285231516480646
4,0,150,97,1,1,1,5,0.0,0.0,0.7765055323929466
5,0,150,97,1,2,1,1,0.07841278563854105,0.0,0.6000000000000002
6,0,150,97,1,2,1,3,0.07841278563854105,0.0,0.6714768483519358
7,0,150,97,1,2,1,4,0.07841278563854105,0.0,0.7285231516480647
8,0,150,97,1,2,1,2,0.07841278563854107,0.0,0.6234944676070537
9,0,150,97,1,2,1,5,0.07841278563854107,0.0,0.7765055323929467
10,0,150,97,1,3,1,1,0.23855398137458467,0.0,0.6000000000000001
11,0,150,97,1,3,1,3,0.23855398137458467,0.0,0.6714768483519356
12,0,150,97,1,3,1,4,0.23855398137458467,0.0,0.7285231516480646
13,0,150,97,1,3,1,5,0.23855398137458467,0.0,0.7765055323929466
14,0,150,97,1,3,1,2,0.23855398137458475,0.0,0.6234944676070537
15,0,150,97,1,4,1,1,0.4289460186254153,0.0,0.6000000000000001
16,0,150,97,1,4,1,3,0.4289460186254153,0.0,0.6714768483519356
17,0,150,97,1,4,1,4,0.4289460186254153,0.0,0.7285231516480646
18,0,150,97,1,4,1,5,0.4289460186254153,0.0,0.7765055323929466
19,0,150,97,1,4,1,2,0.4289460186254155,0.0,0.6234944676070537
20,0,150,97,1,5,1,1,0.5890872143614592,0.0,0.6000000000000002
21,0,150,97,1,5,1,2,0.5890872143614592,0.0,0.6234944676070537
22,0,150,97,1,5,1,3,0.5890872143614592,0.0,0.6714768483519358
23,0,150,97,1,5,1,4,0.5890872143614592,0.0,0.7285231516480647
24,0,150,97,1,5,1,5,0.5890872143614592,0.0,0.7765055323929467
25,0,150,98,1,1,1,1,0.6675,0.0,0.6000000000000001
26,0,150,98,1,1,1,2,0.6675,0.0,0.6234944676070537
27,0,150,98,1,1,1,3,0.6675,0.0,0.6714768483519356
28,0,150,98,1,1,1,4,0.6675,0.0,0.7285231516480646
29,0,150,98,1,1,1,5,0.6675,0.0,0.7765055323929466
30,0,150,98,1,2,1,1,0.7459127856385415,0.0,0.6000000000000002
31,0,150,98,1,2,1,2,0.7459127856385415,0.0,0.6234944676070537
32,0,150,98,1,2,1,3,0.7459127856385415,0.0,0.6714768483519358
33,0,150,98,1,2,1,4,0.7459127856385415,0.0,0.7285231516480647
34,0,150,98,1,2,1,5,0.7459127856385415,0.0,0.7765055323929467
35,0,150,98,1,3,1,1,0.9060539813745847,0.0,0.6000000000000001
36,0,150,98,1,3,1,3,0.9060539813745847,0.0,0.6714768483519356
37,0,150,98,1,3,1,4,0.9060539813745847,0.0,0.7285231516480646
38,0,150,98,1,3,1,5,0.9060539813745848,0.0,0.7765055323929466
39,0,150,98,1,3,1,2,0.9060539813745851,0.0,0.6234944676070537
40,0,150,98,1,4,1,1,1.0964460186254152,0.0,0.6000000000000001
41,0,150,98,1,4,1,2,1.0964460186254152,0.0,0.6234944676070537
42,0,150,98,1,4,1,3,1.0964460186254152,0.0,0.6714768483519356
43,0,150,98,1,4,1,4,1.0964460186254152,0.0,0.7285231516480646
44,0,150,98,1,4,1,5,1.0964460186254152,0.0,0.7765055323929466
45,0,150,98,1,5,1,1,1.2565872143614587,0.0,0.6000000000000002
46,0,150,98,1,5,1,2,1.2565872143614587,0.0,0.6234944676070537
47,0,150,98,1,5,1,3,1.2565872143614587,0.0,0.6714768483519358
48,0,150,98,1,5,1,4,1.2565872143614587,0.0,0.7285231516480647
49,0,150,98,1,5,1,5,1.2565872143614587,0.0,0.7765055323929467
50,0,150,67,1,1,1,1,1.335,0.0,0.4
51,0,150,67,1,1,1,2,1.335,0.0,0.4234944676070537
52,0,150,67,1,1,1,3,1.335,0.0,0.47147684835193554
53,0,150,67,1,1,1,4,1.335,0.0,0.5285231516480646
54,0,150,67,1,1,1,5,1.335,0.0,0.5765055323929467
55,0,150,99,1,1,1,1,1.335,0.0,0.6000000000000001
56,0,150,99,1,1,1,2,1.335,0.0,0.6234944676070537
57,0,150,99,1,1,1,3,1.335,0.0,0.6714768483519356
58,0,150,99,1,1,1,4,1.335,0.0,0.7285231516480646
59,0,150,99,1,1,1,5,1.335,0.0,0.7765055323929466
60,0,150,67,1,2,1,1,1.4134127856385417,0.0,0.4000000000000001
61,0,150,67,1,2,1,2,1.4134127856385417,0.0,0.423494467607054
62,0,150,67,1,2,1,3,1.4134127856385417,0.0,0.47147684835193576
63,0,150,67,1,2,1,4,1.4134127856385417,0.0,0.5285231516480644
64,0,150,67,1,2,1,5,1.4134127856385417,0.0,0.5765055323929467
65,0,150,99,1,2,1,1,1.4134127856385417,0.0,0.6000000000000002
66,0,150,99,1,2,1,2,1.4134127856385417,0.0,0.6234944676070537
67,0,150,99,1,2,1,3,1.4134127856385417,0.0,0.6714768483519358
68,0,150,99,1,2,1,4,1.4134127856385417,0.0,0.7285231516480647
69,0,150,99,1,2,1,5,1.4134127856385417,0.0,0.7765055323929467
70,0,150,67,1,3,1,1,1.5735539813745847,0.0,0.4
71,0,150,67,1,3,1,3,1.5735539813745847,0.0,0.47147684835193554
72,0,150,67,1,3,1,4,1.5735539813745847,0.0,0.5285231516480646
73,0,150,99,1,3,1,1,1.5735539813745847,0.0,0.6000000000000001
74,0,150,99,1,3,1,3,1.5735539813745847,0.0,0.6714768483519356
75,0,150,99,1,3,1,4,1.5735539813745847,0.0,0.7285231516480646
76,0,150,67,1,3,1,2,1.573553981374585,0.0,0.4234944676070537
77,0,150,67,1,3,1,5,1.573553981374585,0.0,0.5765055323929467
78,0,150,99,1,3,1,2,1.573553981374585,0.0,0.6234944676070537
79,0,150,99,1,3,1,5,1.573553981374585,0.0,0.7765055323929466
80,0,150,67,1,4,1,1,1.7639460186254152,0.0,0.4
81,0,150,67,1,4,1,3,1.7639460186254152,0.0,0.47147684835193554
82,0,150,67,1,4,1,4,1.7639460186254152,0.0,0.5285231516480646
83,0,150,67,1,4,1,5,1.7639460186254152,0.0,0.5765055323929467
84,0,150,99,1,4,1,1,1.7639460186254152,0.0,0.6000000000000001
85,0,150,99,1,4,1,3,1.7639460186254152,0.0,0.6714768483519356
86,0,150,99,1,4,1,4,1.7639460186254152,0.0,0.7285231516480646
87,0,150,99,1,4,1,5,1.7639460186254152,0.0,0.7765055323929466
88,0,150,67,1,4,1,2,1.763946018625416,0.0,0.4234944676070537
89,0,150,99,1,4,1,2,1.763946018625416,0.0,0.6234944676070537
90,0,150,67,1,5,1,1,1.924087214361459,0.0,0.4000000000000001
91,0,150,67,1,5,1,3,1.924087214361459,0.0,0.4714768483519356
92,0,150,67,1,5,1,4,1.924087214361459,0.0,0.5285231516480647
93,0,150,67,1,5,1,5,1.924087214361459,0.0,0.5765055323929467
94,0,150,99,1,5,1,1,1.924087214361459,0.0,0.6000000000000002
95,0,150,99,1,5,1,3,1.924087214361459,0.0,0.6714768483519358
96,0,150,99,1,5,1,4,1.924087214361459,0.0,0.7285231516480647
97,0,150,99,1,5,1,5,1.924087214361459,0.0,0.7765055323929467
98,0,150,67,1,5,1,2,1.9240872143614596,0.0,0.42349446760705384
99,0,150,99,1,5,1,2,1.9240872143614596,0.0,0.6234944676070537
100,0,150,68,1,1,1,2,2.0024999999999986,0.0,0.4234944676070537
101,0,150,100,1,1,1,2,2.0024999999999986,0.0,0.6234944676070537
102,0,150,68,1,1,1,1,2.0025,0.0,0.4
103,0,150,68,1,1,1,3,2.0025,0.0,0.47147684835193554
104,0,150,68,1,1,1,4,2.0025,0.0,0.5285231516480646
105,0,150,68,1,1,1,5,2.0025,0.0,0.5765055323929467
106,0,150,100,1,1,1,1,2.0025,0.0,0.6000000000000001
107,0,150,100,1,1,1,3,2.0025,0.0,0.6714768483519356
108,0,150,100,1,1,1,4,2.0025,0.0,0.7285231516480646
109,0,150,100,1,1,1,5,2.0025,0.0,0.7765055323929466
110,0,150,68,1,2,1,2,2.0809127856385383,0.0,0.423494467607054
111,0,150,100,1,2,1,2,2.0809127856385383,0.0,0.6234944676070537
112,0,150,68,1,2,1,1,2.0809127856385397,0.0,0.4000000000000001
113,0,150,68,1,2,1,3,2.0809127856385397,0.0,0.47147684835193576
114,0,150,68,1,2,1,4,2.0809127856385397,0.0,0.5285231516480644
115,0,150,68,1,2,1,5,2.0809127856385397,0.0,0.5765055323929467
116,0,150,100,1,2,1,1,2.0809127856385397,0.0,0.6000000000000002
117,0,150,100,1,2,1,3,2.0809127856385397,0.0,0.6714768483519358
118,0,150,100,1,2,1,4,2.0809127856385397,0.0,0.7285231516480647
119,0,150,100,1,2,1,5,2.0809127856385397,0.0,0.7765055323929467
120,0,150,68,1,3,1,1,2.2410539813745847,0.0,0.4
121,0,150,68,1,3,1,2,2.2410539813745847,0.0,0.4234944676070537
122,0,150,68,1,3,1,3,2.2410539813745847,0.0,0.47147684835193554
123,0,150,68,1,3,1,4,2.2410539813745847,0.0,0.5285231516480646
124,0,150,68,1,3,1,5,2.2410539813745847,0.0,0.5765055323929467
125,0,150,100,1,3,1,1,2.2410539813745847,0.0,0.6000000000000001
126,0,150,100,1,3,1,2,2.2410539813745847,0.0,0.6234944676070537
127,0,150,100,1,3,1,3,2.2410539813745847,0.0,0.6714768483519356
128,0,150,100,1,3,1,4,2.2410539813745847,0.0,0.7285231516480646
129,0,150,100,1,3,1,5,2.2410539813745847,0.0,0.7765055323929466
130,0,150,68,1,4,1,1,2.431446018625415,0.0,0.4
131,0,150,68,1,4,1,2,2.431446018625415,0.0,0.4234944676070537
132,0,150,68,1,4,1,3,2.431446018625415,0.0,0.47147684835193554
133,0,150,68,1,4,1,4,2.431446018625415,0.0,0.5285231516480646
134,0,150,68,1,4,1,5,2.431446018625415,0.0,0.5765055323929467
135,0,150,100,1,4,1,1,2.431446018625415,0.0,0.6000000000000001
136,0,150,100,1,4,1,2,2.431446018625415,0.0,0.6234944676070537
137,0,150,100,1,4,1,3,2.431446018625415,0.0,0.6714768483519356
138,0,150,100,1,4,1,4,2.431446018625415,0.0,0.7285231516480646
139,0,150,100,1,4,1,5,2.431446018625415,0.0,0.7765055323929466
140,0,150,68,1,5,1,1,2.591587214361459,0.0,0.4000000000000001
141,0,150,68,1,5,1,2,2.591587214361459,0.0,0.42349446760705384
142,0,150,68,1,5,1,3,2.591587214361459,0.0,0.4714768483519356
143,0,150,68,1,5,1,4,2.591587214361459,0.0,0.5285231516480647
144,0,150,68,1,5,1,5,2.591587214361459,0.0,0.5765055323929467
145,0,150,100,1,5,1,1,2.591587214361459,0.0,0.6000000000000002
146,0,150,100,1,5,1,2,2.591587214361459,0.0,0.6234944676070537
147,0,150,100,1,5,1,3,2.591587214361459,0.0,0.6714768483519358
148,0,150,100,1,5,1,4,2.591587214361459,0.0,0.7285231516480647
149,0,150,100,1,5,1,5,2.591587214361459,0.0,0.7765055323929467
150,1,150,65,1,1,1,1,0.0,0.0,0.4
151,1,150,65,1,1,1,2,0.0,0.0,0.4234944676070537
